tournament,date,series,court,surface,round,best_of,player_1,player_2,winner,rank_1,rank_2,source,set_scores,set1_player1,set1_player2,set2_player1,set2_player2,set3_player1,set3_player2,set4_player1,set4_player2,set5_player1,set5_player2
QATAR EXXON MOBIL OPEN,2020-01-06,ATP250,OUTDOOR,HARD,1ST ROUND,3,MANNARINO A.,BUBLIK A.,BUBLIK A.,43,55,ATP,"['3-6', '4-6']",3,6,4,6,-1,-1,-1,-1,-1,-1
QATAR EXXON MOBIL OPEN,2020-01-06,ATP250,OUTDOOR,HARD,1ST ROUND,3,MOUTET C.,SANDGREN T.,MOUTET C.,81,68,ATP,"['7-6', '6-4']",7,6,6,4,-1,-1,-1,-1,-1,-1
QATAR EXXON MOBIL OPEN,2020-01-06,ATP250,OUTDOOR,HARD,1ST ROUND,3,ANDUJAR P.,VERDASCO F.,VERDASCO F.,64,49,ATP,"['4-6', '3-6']",4,6,3,6,-1,-1,-1,-1,-1,-1
QATAR EXXON MOBIL OPEN,2020-01-06,ATP250,OUTDOOR,HARD,1ST ROUND,3,BEDENE A.,YMER M.,BEDENE A.,58,76,ATP,"['3-6', '6-4', '6-3']",3,6,6,4,6,3,-1,-1,-1,-1
QATAR EXXON MOBIL OPEN,2020-01-06,ATP250,OUTDOOR,HARD,1ST ROUND,3,BARRERE G.,CHARDY J.,CHARDY J.,83,54,ATP,"['3-6', '6-3', '3-6']",3,6,6,3,3,6,-1,-1,-1,-1
QATAR EXXON MOBIL OPEN,2020-01-06,ATP250,OUTDOOR,HARD,1ST ROUND,3,KECMANOVIC M.,THOMPSON J.,KECMANOVIC M.,62,63,ATP,"['6-4', '6-2']",6,4,6,2,-1,-1,-1,-1,-1,-1
QATAR EXXON MOBIL OPEN,2020-01-06,ATP250,OUTDOOR,HARD,1ST ROUND,3,EDMUND K.,KRAJINOVIC F.,KRAJINOVIC F.,69,40,ATP,"['6-4', '3-6', '3-6']",6,4,3,6,3,6,-1,-1,-1,-1
QATAR EXXON MOBIL OPEN,2020-01-07,ATP250,OUTDOOR,HARD,1ST ROUND,3,DJERE L.,SONEGO L.,DJERE L.,39,51,ATP,"['6-1', '3-6', '6-2']",6,1,3,6,6,2,-1,-1,-1,-1
QATAR EXXON MOBIL OPEN,2020-01-07,ATP250,OUTDOOR,HARD,1ST ROUND,3,TIAFOE F.,FUCSOVICS M.,FUCSOVICS M.,47,70,ATP,"['4-6', '6-4', '4-6']",4,6,6,4,4,6,-1,-1,-1,-1
QATAR EXXON MOBIL OPEN,2020-01-07,ATP250,OUTDOOR,HARD,1ST ROUND,3,ILKEL C.,BERANKIS R.,ILKEL C.,279,67,ATP,"['6-2', '4-6', '6-2']",6,2,4,6,6,2,-1,-1,-1,-1
QATAR EXXON MOBIL OPEN,2020-01-07,ATP250,OUTDOOR,HARD,1ST ROUND,3,JAZIRI M.,KUKUSHKIN M.,KUKUSHKIN M.,229,66,ATP,"['0-6', '3-6']",0,6,3,6,-1,-1,-1,-1,-1,-1
QATAR EXXON MOBIL OPEN,2020-01-07,ATP250,OUTDOOR,HARD,1ST ROUND,3,HERBERT P.H.,CECCHINATO M.,HERBERT P.H.,65,75,ATP,"['6-3', '6-4']",6,3,6,4,-1,-1,-1,-1,-1,-1
QATAR EXXON MOBIL OPEN,2020-01-07,ATP250,OUTDOOR,HARD,2ND ROUND,3,BUBLIK A.,BEDENE A.,BEDENE A.,55,58,ATP,"['3-6', '5-7']",3,6,5,7,-1,-1,-1,-1,-1,-1
QATAR EXXON MOBIL OPEN,2020-01-07,ATP250,OUTDOOR,HARD,2ND ROUND,3,WAWRINKA S.,CHARDY J.,WAWRINKA S.,15,54,ATP,"['6-3', '6-4']",6,3,6,4,-1,-1,-1,-1,-1,-1
QATAR EXXON MOBIL OPEN,2020-01-08,ATP250,OUTDOOR,HARD,2ND ROUND,3,KUKUSHKIN M.,RUBLEV A.,RUBLEV A.,66,23,ATP,"['4-6', '2-6']",4,6,2,6,-1,-1,-1,-1,-1,-1
QATAR EXXON MOBIL OPEN,2020-01-08,ATP250,OUTDOOR,HARD,2ND ROUND,3,FUCSOVICS M.,ILKEL C.,FUCSOVICS M.,70,279,ATP,"['6-1', '6-4']",6,1,6,4,-1,-1,-1,-1,-1,-1
QATAR EXXON MOBIL OPEN,2020-01-08,ATP250,OUTDOOR,HARD,2ND ROUND,3,KRAJINOVIC F.,VERDASCO F.,VERDASCO F.,40,49,ATP,"['5-7', '6-4', '0-6']",5,7,6,4,0,6,-1,-1,-1,-1
